,$(X_1\cup X_2)\beta \approx Y$,$X_1\beta \approx Y$,$X_2\beta \approx Y$,$R^2(X_1\beta \approx Y)\cap R^2(X_2\beta \approx Y)$,$R^2(X_1\beta \approx Y) \setminus R^2(X_2\beta \approx Y)$,$R^2(X_2\beta \approx Y) \setminus R^2(X_1\beta \approx Y)$
8290,0.9118357,0.746644,0.44843763,0.28324604,0.46339798,0.16519159
8291,0.9016074,0.76548517,0.5251094,0.38898718,0.37649798,0.13612223
8292,0.92423314,0.81649256,0.46676052,0.35901994,0.45747262,0.10774058
8293,0.89890134,0.7632225,0.46630543,0.3306266,0.4325959,0.13567883
8294,0.914807,0.76584846,0.4709285,0.32196993,0.44387853,0.14895856
8295,0.8842648,0.7271224,0.47708303,0.3199407,0.40718174,0.15714234
8296,0.89449024,0.7300565,0.34587508,0.1814413,0.5486152,0.16443378
8297,0.9309498,0.7851697,0.60686934,0.46108925,0.32408047,0.14578009
8298,0.89800096,0.7889993,0.20038968,0.09138805,0.6976113,0.10900164
8299,0.82696784,0.63792896,0.29358768,0.10454881,0.53338015,0.18903887
8300,0.88533306,0.7954145,0.3508528,0.26093423,0.5344803,0.089918554
8301,0.90521234,0.6857543,0.49893826,0.27948028,0.40627402,0.21945798
8302,0.9115206,0.75539625,0.39538252,0.23925817,0.5161381,0.15612435
8303,0.8598734,0.6454042,0.3910789,0.17660964,0.46879458,0.21446925
8304,0.88782734,0.7546874,0.43044847,0.2973085,0.45737892,0.13313997
8305,0.8845444,0.7446691,0.3389874,0.19911218,0.5455569,0.13987523
8306,0.8489132,0.63978827,0.44362277,0.23449779,0.40529048,0.20912498
8307,0.90353864,0.82450217,0.44384623,0.3648098,0.45969236,0.079036415
8308,0.8647982,0.7002655,0.37027365,0.20574105,0.49452448,0.1645326
8309,0.8783246,0.6976863,0.39066654,0.21002829,0.48765802,0.18063825
8310,0.89062035,0.73375905,0.35365134,0.1967901,0.53696895,0.15686125
8311,0.89993185,0.7326331,0.39702368,0.22972494,0.5029082,0.16729873
8312,0.9090708,0.7620237,0.43906093,0.29201382,0.47000986,0.1470471
8313,0.8820304,0.6759495,0.4067856,0.20070463,0.47524488,0.20608097
8314,0.8965623,0.7462355,0.45934772,0.30902094,0.43721455,0.15032679
8315,0.8816502,0.73063064,0.19410497,0.043085396,0.68754524,0.15101957
8316,0.8794643,0.70698243,0.41350144,0.24101955,0.4659629,0.1724819
8317,0.90664953,0.81232744,0.49878603,0.40446395,0.4078635,0.094322085
8318,0.9104866,0.7225814,0.49569696,0.30779183,0.41478956,0.18790513
8319,0.9218161,0.7939941,0.56184024,0.43401825,0.35997587,0.12782198
8320,0.8844188,0.7296028,0.4896266,0.33481067,0.39479214,0.15481591
8321,0.8665708,0.7797073,0.36352783,0.27666444,0.5030429,0.0868634
8322,0.8606638,0.6816976,0.36379683,0.18483067,0.49686694,0.17896616
8323,0.8915355,0.73015606,0.562126,0.40074658,0.32940948,0.1613794
8324,0.8952898,0.7331818,0.3271277,0.16501963,0.56816214,0.16210806
8325,0.9035977,0.7336509,0.49287236,0.32292557,0.41072536,0.16994679
8326,0.907306,0.72773755,0.5293186,0.3497501,0.37798744,0.17956847
8327,0.8975106,0.73755294,0.3947605,0.2348029,0.50275004,0.15995759
8328,0.8805609,0.70569015,0.39731312,0.22244239,0.48324776,0.17487073
8329,0.894848,0.7142483,0.5782221,0.39762247,0.31662583,0.18059963
8330,0.87382054,0.6951715,0.48707223,0.30842316,0.3867483,0.17864907
8331,0.8978095,0.7384249,0.3607806,0.20139599,0.5370289,0.15938461
8332,0.90066856,0.6975138,0.4376039,0.23444921,0.4630646,0.20315468
8333,0.9078607,0.7569807,0.568265,0.41738504,0.33959568,0.15087998
8334,0.8668455,0.7190576,0.37361544,0.22582757,0.49323004,0.14778787
8335,0.9060768,0.75351477,0.55130017,0.39873815,0.35477662,0.15256202
8336,0.93354523,0.81719947,0.44170058,0.3253548,0.49184465,0.11634576
8337,0.85940695,0.69450605,0.3911397,0.22623873,0.46826732,0.16490096
8338,0.90452737,0.6851592,0.39048386,0.1711157,0.5140435,0.21936816
